date,tmin,day_of_year,month,day_of_week,sin_doy,cos_doy,lag1,lag2,lag7,lag30,roll7,roll30,vol_7,diff1
2017-07-09,75.0,190,7,6,-0.12874817745258066,-0.99167731989929,76.0,77.0,76.0,77.0,76.28571428571429,76.36666666666666,1.1126972805284083,-1.0
2017-07-10,76.0,191,7,0,-0.14579919691987442,-0.9893142039703664,75.0,76.0,76.0,76.0,76.28571428571429,76.36666666666666,1.1126972805284083,1.0
2017-07-11,76.0,192,7,1,-0.16280701293851646,-0.9866579328916572,76.0,75.0,75.0,75.0,76.42857142857143,76.4,0.975900072948557,0.0
2017-07-12,75.0,193,7,2,-0.17976658572556214,-0.9837092937736098,76.0,76.0,78.0,76.0,76.0,76.36666666666666,0.8164965809278164,-1.0
2018-01-02,72.0,2,1,1,0.03442161162274574,0.9994074007397048,73.0,72.0,73.0,69.0,71.85714285714286,73.63333333333334,1.3451854182695056,-1.0
2018-01-03,74.0,3,1,2,0.051619667223253764,0.998666816288476,72.0,73.0,74.0,73.0,71.85714285714286,73.66666666666667,1.3451854182695056,2.0
2018-01-04,73.0,4,1,3,0.06880242680231986,0.9976303053065857,74.0,72.0,71.0,73.0,72.14285714285714,73.66666666666667,1.3451854182694811,-1.0
2018-01-05,73.0,5,1,4,0.08596479873744647,0.9962981749346078,73.0,74.0,70.0,74.0,72.57142857142857,73.63333333333334,0.975900072949011,0.0
2018-01-06,71.0,6,1,5,0.10310169744743485,0.9946708199115211,73.0,73.0,71.0,74.0,72.57142857142857,73.53333333333333,0.975900072949011,-2.0
2018-01-07,72.0,7,1,6,0.1202080448993527,0.9927487224577402,71.0,73.0,72.0,76.0,72.57142857142857,73.4,0.975900072949011,1.0
2018-01-08,72.0,8,1,0,0.13727877211326478,0.9905324521322229,72.0,71.0,73.0,76.0,72.42857142857143,73.26666666666667,0.9759000729490278,0.0
2018-01-09,69.0,9,1,1,0.15430882066428117,0.9880226656636976,72.0,72.0,72.0,75.0,72.0,73.06666666666666,1.6329931618557776,-3.0
2018-01-10,74.0,10,1,2,0.1712931441814776,0.9852201067560606,69.0,72.0,74.0,75.0,72.0,73.03333333333333,1.6329931618557776,5.0
2018-01-11,75.0,11,1,3,0.1882267098432442,0.9821256058680006,74.0,69.0,73.0,76.0,72.28571428571429,73.0,1.9760470401189585,1.0
2018-01-12,74.0,12,1,4,0.2051044998686192,0.9787400799669153,75.0,74.0,73.0,76.0,72.42857142857143,72.93333333333334,2.070196678027294,-1.0
2018-01-13,78.0,13,1,5,0.2219215130041655,0.9750645322571948,74.0,75.0,71.0,74.0,73.42857142857143,73.06666666666666,2.819996622760686,4.0
2018-01-14,72.0,14,1,6,0.2386727660059501,0.9711000518829505,78.0,74.0,72.0,76.0,73.42857142857143,72.93333333333334,2.819996622760686,-6.0
2018-01-15,73.0,15,1,0,0.255353295116187,0.9668478136052775,72.0,78.0,72.0,75.0,73.57142857142857,72.86666666666666,2.7602622373695413,1.0
2018-01-16,72.0,16,1,1,0.2719581575341055,0.9623090774541486,73.0,72.0,69.0,72.0,74.0,72.86666666666666,2.081665999466275,-1.0
2018-01-17,73.0,17,1,2,0.288482432880609,0.9574851883550393,72.0,73.0,74.0,72.0,73.85714285714286,72.9,2.1157009420499633,1.0
2018-01-18,72.0,18,1,3,0.30492122465628907,0.9523775757303974,73.0,72.0,75.0,72.0,73.42857142857143,72.9,2.1491969707424086,-1.0
2018-01-19,71.0,19,1,4,0.3212696616923644,0.9469877530760753,72.0,73.0,74.0,76.0,73.0,72.73333333333333,2.309401076758683,-1.0
2018-01-20,70.0,20,1,5,0.3375228995941133,0.9413173175128471,71.0,72.0,78.0,75.0,71.85714285714286,72.56666666666666,1.0690449676502116,-1.0
2018-01-21,71.0,21,1,6,0.3536761221763716,0.9353679493131483,70.0,71.0,72.0,74.0,71.71428571428571,72.46666666666667,1.1126972805288835,1.0
2018-01-22,70.0,22,1,0,0.3697245428906731,0.9291414114031743,71.0,70.0,73.0,74.0,71.28571428571429,72.33333333333333,1.1126972805289321,-1.0
2018-01-23,72.0,23,1,1,0.38566340624360707,0.9226395488404876,70.0,71.0,72.0,73.0,71.28571428571429,72.3,1.1126972805289321,2.0
2018-01-24,74.0,24,1,2,0.401487989205973,0.9158642882672872,72.0,70.0,73.0,72.0,71.42857142857143,72.36666666666666,1.3972762620119739,2.0
2018-01-25,76.0,25,1,3,0.4171936026123168,0.9088176373395029,74.0,72.0,72.0,73.0,72.0,72.46666666666667,2.236067977500024,2.0
2018-01-26,74.0,26,1,4,0.4327755925504312,0.901501684131884,76.0,74.0,71.0,74.0,72.42857142857143,72.46666666666667,2.2990681342046435,-2.0
