"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-10-11","0.00","92","77"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-10-12","0.94","90","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-10-13","0.28","87","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-10-14","0.51","86","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-10-15","2.28",,"73"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-10-16","0.35","88","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-10-17","0.12","90",
"IN010100400","THIRUVANANTHAPURAM, IN","2017-10-18","0.20",,"75"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-10-19","0.08","91","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-10-20","0.31","91","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-10-21","0.24","90","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-10-22","1.50",,"76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-10-23","0.00","90","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-10-24",,"91","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-10-25",,"90","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-10-26",,"91","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-10-27",,"89","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-10-28","0.43",,"76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-10-29",,"91","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-10-30",,"89","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-10-31","0.08","89","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-01","0.01",,"75"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-02","0.16","90",
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-03","0.31",,"74"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-04","0.00","90",
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-05","0.04","86","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-06",,,"76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-07",,"89","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-08",,"85","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-09",,,"73"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-10","0.12","88","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-11","0.00",,"74"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-12","0.00","90","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-13","0.01",,
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-14","0.00",,"72"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-15",,"93","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-16",,"92","72"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-17",,"92","72"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-18",,"90","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-19",,"90","77"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-20",,"89","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-21",,,"74"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-22",,"91","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-23","0.04",,"75"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-24","0.01","90","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-25","0.00","92","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-26",,"89",
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-27",,"89","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-28",,,"75"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-29",,"90","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-11-30","0.94","87","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-01","2.44","78",
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-02","0.00",,
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-03","0.94",,"69"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-04","0.00",,"73"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-05",,"93","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-06",,"90","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-07",,"91","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-08",,"90","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-09","0.01","90","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-10","0.00","89","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-11",,"90","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-12",,"90","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-13",,"89","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-14",,,"74"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-15",,"90","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-16","0.00",,"75"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-17",,"92","72"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-18",,"94","72"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-19",,"95","72"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-20",,"94","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-21",,,"75"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-22",,"92","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-23",,"92","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-24","0.00","92","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-25",,"91","72"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-26",,"91","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-27",,"92","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-28",,"92","71"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-29",,"93","70"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-30",,"91","71"
"IN010100400","THIRUVANANTHAPURAM, IN","2017-12-31",,"91","72"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-01",,"91","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-02",,,"72"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-03",,"91","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-04",,"92","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-05",,"93","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-06",,"92","71"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-07",,"91","72"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-08",,,"72"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-09",,"91","69"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-10",,"91","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-11",,"94","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-12",,,"74"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-13","0.00","92","78"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-14",,,"72"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-15",,"94","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-16",,"91","72"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-17",,"89","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-18",,"90","72"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-19",,"91","71"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-20",,"92","70"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-21",,,"71"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-22",,"94","70"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-23",,"90","72"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-24",,,"74"
